Time.point,Treatment,plant.mass..g,Type,Tank,replicate,Sample.ID,at.P..13C,d13C,Total.C..ug,d13C.Comment,at.P..15N,d15N,Total.N..ug,d15N.Comment,Tray.Name,Well.Id,Type.of.Material,Analysis,Sample Weight (mg) from Sample List,OurLabID,Analysis Number,Mass Spec
T1,burned,100,POM,14,,T1 46,1.07725,-25.92,109.5,,0.40037,93.39,21.01,,Pyro1Shurin,D10,"POM, scraped GFF","13C, 15N",4.7,1874245,386992,A
T1,burned,100,POM,14,*rep sample,T1 47,1.07697,-26.17,65.47,Precision decreases for samples containing less than 100ugC,0.40042,93.53,14.08,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,D11,"POM, scraped GFF","13C, 15N",4.6,1874246,386993,A
T1,unburned,100,plankton,17,,T1 48,1.0758,-27.25,450.76,,0.40316,101.05,82.19,,Pyro1Shurin,D12,"plankton, scrape GFF","13C, 15N",6.3,1874247,386994,A
T1,controls,NA,plankton.stock,NA,*plankton rep sample,T1 49,1.07014,-32.42,498.73,,0.3703,10.98,99.18,,Pyro1Shurin,E1,ground plankton,"13C, 15N",0.9,1874248,386998,A
T1,burned,75,plankton,12,,T1 50,1.07645,-26.65,199.69,,0.39392,75.73,34.18,,Pyro1Shurin,E2,"plankton, scrape GFF","13C, 15N",2.7,1874249,386999,A
T1,burned,75,POM,12,,T1 51,1.07651,-26.6,163.43,,0.39382,75.44,21.18,,Pyro1Shurin,E3,"POM, scraped GFF","13C, 15N",6.5,1874250,387000,A
T1,unburned,100,POM,17,,T1 52,1.07468,-28.27,103.28,,0.40728,112.35,15.2,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,E4,"POM, scraped GFF","13C, 15N",2.9,1874251,387001,A
T1,unburned,100,POM,17,*rep sample,T1 53,1.07463,-28.32,65.04,Precision decreases for samples containing less than 100ugC,0.40735,112.55,10.61,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,E5,"POM, scraped GFF","13C, 15N",2.2,1874252,387002,A
T1,unburned,75,plankton,19,,T1 54,1.07683,-26.3,721.6,,0.40046,93.65,133.84,,Pyro1Shurin,E6,"plankton, scrape GFF","13C, 15N",3.8,1874253,387003,A
T1,unburned,75,POM,19,,T1 55,1.07572,-27.32,102.64,,0.39872,88.88,12.34,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,E7,"POM, scraped GFF","13C, 15N",6.8,1874254,387004,A
T1,burned,50,plankton,10,,T1 56,1.07786,-25.36,106.93,,0.38874,61.53,20.06,,Pyro1Shurin,E8,"plankton, scrape GFF","13C, 15N",1.5,1874255,387005,A
T1,burned,50,POM,10,,T1 57,1.07802,-25.22,118.08,,0.38683,56.28,15.12,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,E9,"POM, scraped GFF","13C, 15N",6.5,1874256,387006,A
T1,unburned,50,plankton,21,,T1 58,1.07726,-25.91,664.2,,0.3931,73.48,121.71,,Pyro1Shurin,E10,"plankton, scrape GFF","13C, 15N",2.7,1874257,387007,A
T1,unburned,50,POM,21,,T1 59,1.07676,-26.37,161.29,,0.39759,85.79,25.34,,Pyro1Shurin,E11,"POM, scraped GFF","13C, 15N",6.4,1874258,387008,A
T1,burned,25,plankton,8,,T1 60,1.08026,-23.17,579.67,,0.38358,47.36,98.31,,Pyro1Shurin,E12,"plankton, scrape GFF","13C, 15N",2.5,1874259,387009,A
T1,burned,25,plankton,8,*rep sample,T1 61,1.08075,-22.72,259.2,,0.38373,47.79,42.76,,Pyro1Shurin,F1,"plankton, scrape GFF","13C, 15N",1.2,1874260,387013,A
T1,burned,25,POM,8,,T1 62,1.08201,-21.57,93.63,Precision decreases for samples containing less than 100ugC,0.38196,42.93,12.26,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,F2,"POM, scraped GFF","13C, 15N",9.5,1874261,387014,A
T1,unburned,25,plankton,23,,T1 63,1.07688,-26.26,668.31,,0.39068,66.83,98.31,,Pyro1Shurin,F3,"plankton, scrape GFF","13C, 15N",1.9,1874262,387015,A
T1,unburned,25,POM,23,,T1 64,1.07707,-26.08,153.6,,0.3864,55.1,18.67,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,F4,"POM, scraped GFF","13C, 15N",4.5,1874263,387016,A
T1,controls,NA,plankton.stock,NA,*plankton rep sample,T1 65,1.07001,-32.54,888.18,,0.37039,11.24,176.31,,Pyro1Shurin,F5,ground plankton,"13C, 15N",1.8,1874264,387017,A
T1,burned,10,POM,6,,T1 66,1.07963,-23.74,231.6,,0.37748,30.67,30.11,,Pyro1Shurin,F6,"POM, scraped GFF","13C, 15N",0.8,1874265,387018,A
T1,unburned,10,plankton,25,,T1 67,1.07392,-28.97,1008.62,,0.38126,41.02,135.58,,Pyro1Shurin,F7,"plankton, scrape GFF","13C, 15N",2.2,1874266,387019,A
T1,unburned,10,POM,25,,T1 68,1.072,-30.72,450.76,,0.37491,23.61,53.77,,Pyro1Shurin,F8,"POM, scraped GFF","13C, 15N",0.4,1874267,387020,A
T1,burned,5,plankton,4,,T1 69,1.07893,-24.39,394.21,,0.37645,27.82,56.97,,Pyro1Shurin,F9,"plankton, scrape GFF","13C, 15N",4.4,1874268,387021,A
T1,burned,5,POM,4,,T1 70,1.07877,-24.53,167.49,,0.3766,28.25,22.22,,Pyro1Shurin,F10,"POM, scraped GFF","13C, 15N",3.9,1874269,387022,A
T1,burned,10,plankton,6,,T1 71,1.07701,-26.14,398.41,,0.38023,38.19,53.68,,Pyro1Shurin,F11,"plankton, scrape GFF","13C, 15N",1.9,1874270,387023,A
T1,burned,10,plankton,6,*rep sample,T1 72,1.07772,-25.49,492.48,,0.3807,39.47,67.72,,Pyro1Shurin,F12,"plankton, scrape GFF","13C, 15N",1.7,1874271,387024,A
T1,unburned,5,plankton,27,,T1 73,1.07505,-27.94,318.44,,0.37447,22.42,17.2,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,G1,"plankton, scrape GFF","13C, 15N",0.9,1874272,387028,A
T1,unburned,5,POM,27,,T1 74,1.07246,-30.3,288.85,,0.37828,32.84,37.74,,Pyro1Shurin,G2,"POM, scraped GFF","13C, 15N",6,1874273,387029,A
T1,burned,0,plankton,2,,T1 75,1.07805,-25.19,52.99,Contained less carbon than smallest reference,0.37259,17.25,5.32,Contained less nitrogen than smallest reference,Pyro1Shurin,G3,"plankton, scrape GFF","13C, 15N",1.3,1874274,387030,A
T1,burned,0,POM,2,,T1 76,1.07307,-29.74,431.94,,0.36915,7.84,56.37,,Pyro1Shurin,G4,"POM, scraped GFF","13C, 15N",6.6,1874275,387031,A
T1,unburned,0,plankton,29,,T1 77,1.07495,-28.02,49.55,Contained less carbon than smallest reference,0.37059,11.78,11.22,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,G5,"plankton, scrape GFF","13C, 15N",0.2,1874276,387032,A
T1,unburned,0,POM,29,,T1 78,1.07381,-29.07,371.11,,0.37068,12.01,46.57,,Pyro1Shurin,G6,"POM, scraped GFF","13C, 15N",8.1,1874277,387033,A
T1,controls,NA,sage.veryburned,NA,,T1 79,,,,Mass 28 saturated. Contained too much carbon. No total can be estimated.,0.45759,250.4,71.45,,Pyro1Shurin,G7,chared leaves,"13C, 15N",5.3,1874278,387034,A
T1,controls,NA,sage.veryburned,NA,*rep sample,T1 80,1.07748,-25.72,2541.09,,0.49651,357.28,31.32,,Pyro1Shurin,G8,chared leaves,"13C, 15N",3.7,1874279,387035,A
T1,controls,NA,blank,NA,*blank sample,T1 81,,,,Below detection,0.37202,15.7,1.32,Contained less nitrogen than smallest reference,Pyro1Shurin,G9,blank,"13C, 15N",NA,1874280,387036,A
T1,controls,NA,sage.burned,NA,,T1 82,1.07654,-26.57,2506.67,,0.49813,361.73,78.47,,Pyro1Shurin,G10,chared leaves,"13C, 15N",4.6,1874281,387037,A
T1,controls,NA,sage.burned,NA,*rep sample,T1 83,1.07586,-27.19,2592.48,,0.48321,320.73,87.91,,Pyro1Shurin,G11,chared leaves,"13C, 15N",4.8,1874282,387038,A
T1,controls,NA,sage.stem.burned,NA,,T1 84,,,,Mass 28 saturated. Contained too much carbon. No total can be estimated.,0.45744,249.97,100.04,,Pyro1Shurin,G12,chared stems,"13C, 15N",5.3,1874283,387039,A
T1,controls,NA,sage.stem.burned,NA,*rep sample,T1 85,1.07448,-28.45,3041.21,,0.46399,267.97,88.78,,Pyro1Shurin,H1,chared stems,"13C, 15N",5.8,1874284,387043,A
T1,controls,NA,blank,NA,*blank sample,T1 86,,,,Below detection,0.36752,3.37,1.26,Contained less nitrogen than smallest reference,Pyro1Shurin,H2,blank,"13C, 15N",NA,1874285,387044,A
T1,controls,NA,sage.unburned,NA,,T1 87,1.07468,-28.27,3232.72,,0.47463,297.18,88.78,,Pyro1Shurin,H3,leaves,"13C, 15N",5,1874286,387045,A
T1,controls,NA,sage.unburned,NA,*rep sample,T1 88,1.07595,-27.11,2711.19,,0.46553,272.19,70.75,,Pyro1Shurin,H4,leaves,"13C, 15N",5.5,1874287,387046,A
T1,controls,NA,plankton.stock,NA,*rep sample,T1 89,1.07006,-32.49,616.85,,0.37027,10.9,119.11,,Pyro1Shurin,H5,ground plankton,"13C, 15N",1.6,1874288,387047,A
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
