Time.point,Treatment,plant.mass..g,Tank,Gas,d13C,at.perc.13C,ppm
T2,burned,100,14,CH4,-46.44,NA,2.44
T2,unburned,125,15,CH4,-46.57,NA,2.29
T2,burned,125,16,CH4,-46.83,NA,2.2
T2,unburned,100,17,CH4,-46.97,NA,2.19
T2,burned,150,18,CH4,-46.97,NA,2.2
T2,unburned,75,19,CH4,-46.64,NA,2.46
T2,burned,175,20,CH4,-46.79,NA,2.19
T2,unburned,50,21,CH4,-46.71,NA,2.15
T2,burned,200,22,CH4,-46.7,NA,2.24
T2,unburned,25,23,CH4,-46.97,NA,2.13
T2,burned,225,24,CH4,-47.11,NA,2.15
T2,unburned,10,25,CH4,-46.95,NA,2.37
T2,burned,250,26,CH4,-46.94,NA,2.43
T2,unburned,5,27,CH4,-47.08,NA,2.22
T2,burned,300,28,CH4,-47.01,NA,2.47
T2,unburned,0,29,CH4,-47.25,NA,2.64
T2,burned,400,30,CH4,-47.18,NA,2.16
T3,unburned,400,1,CH4,-47.88,NA,2.1
T3,burned,0,2,CH4,-48.58,NA,2.78
T3,unburned,300,3,CH4,-47.47,NA,2.47
T3,burned,5,4,CH4,-48.52,NA,2.65
T3,unburned,250,5,CH4,-48.42,NA,2.74
T3,burned,10,6,CH4,-47.16,NA,2.6
T3,unburned,225,7,CH4,-48.95,NA,2.55
T3,burned,25,8,CH4,-47.94,NA,2.85
T3,unburned,200,9,CH4,-46.92,NA,2.1
T3,burned,50,10,CH4,-46.37,NA,2.26
T3,unburned,175,11,CH4,-47.01,NA,2.14
T3,burned,75,12,CH4,-46.52,NA,2.43
T3,unburned,150,13,CH4,-46.96,NA,2.51
T3,burned,100,14,CH4,-46.13,NA,2.12
T3,unburned,125,15,CH4,-47.29,NA,2.19
T3,burned,125,16,CH4,-47.23,NA,2.7
T3,unburned,100,17,CH4,-47.64,NA,2.22
T3,burned,150,18,CH4,-46.8,NA,2.37
T3,unburned,75,19,CH4,-47.02,NA,2.46
T3,burned,175,20,CH4,-47.12,NA,2.5
T3,unburned,50,21,CH4,-47.42,NA,2.29
T3,burned,200,22,CH4,-48.55,NA,2.27
T3,unburned,25,23,CH4,-48.19,NA,2.66
T3,burned,225,24,CH4,-48.35,NA,2.32
T3,unburned,10,25,CH4,-45.52,NA,2.32
T3,burned,250,26,CH4,-48.31,NA,2.63
T3,unburned,5,27,CH4,-46.85,NA,2.16
T3,burned,300,28,CH4,-48.23,NA,2.72
T3,unburned,0,29,CH4,-47.54,NA,2.32
T3,burned,400,30,CH4,-46.88,NA,2.1
T0,unburned,400,1,CO2,-13.46,1.090875,688
T0,burned,0,2,CO2,-13.93,1.090363,721
T0,unburned,300,3,CO2,-13.86,1.090443,711
T0,burned,5,4,CO2,-17.13,1.086866,772
T0,unburned,250,5,CO2,-14.25,1.090021,799
T0,burned,10,6,CO2,-18.01,1.085899,758
T0,unburned,225,7,CO2,-13.44,1.090898,721
T0,burned,25,8,CO2,-18.45,1.08542,835
T0,unburned,200,9,CO2,-13.51,1.090823,638
T0,burned,50,10,CO2,-13.94,1.090359,716
T0,unburned,175,11,CO2,-13.93,1.090367,688
T0,burned,75,12,CO2,-14.12,1.090155,745
T0,unburned,150,13,CO2,-11.1,1.093463,534
T0,burned,100,14,CO2,-13.99,1.090298,692
T0,unburned,125,15,CO2,-15.75,1.088378,644
T0,burned,125,16,CO2,-14.32,1.089942,714
T0,unburned,100,17,CO2,-13.37,1.090984,611
T0,burned,150,18,CO2,-14.1,1.090184,748
T0,unburned,75,19,CO2,-13.91,1.090387,684
T0,burned,175,20,CO2,-13.73,1.090586,738
T0,unburned,50,21,CO2,-13.86,1.090446,668
T0,burned,200,22,CO2,-14.2,1.090071,690
T0,unburned,25,23,CO2,-14.01,1.090277,675
T0,burned,225,24,CO2,-21.78,1.081786,730
T0,unburned,10,25,CO2,-13.48,1.090862,641
T0,burned,250,26,CO2,-13.91,1.090387,692
T0,unburned,5,27,CO2,-13.78,1.090528,659
T0,burned,300,28,CO2,-13.91,1.090389,684
T0,unburned,0,29,CO2,-13.76,1.090548,700
T0,burned,400,30,CO2,-13.97,1.090318,657
T1,unburned,400,1,CO2,-17.93,1.085991,4628
T1,burned,0,2,CO2,-11.67,1.092838,534
T1,unburned,300,3,CO2,-18.19,1.085708,4260
T1,burned,5,4,CO2,-13.38,1.090967,574
T1,unburned,250,5,CO2,-18.07,1.085841,3533
T1,burned,10,6,CO2,-13.25,1.091114,558
T1,unburned,225,7,CO2,-18.42,1.085454,3313
T1,burned,25,8,CO2,-5.45,1.099644,286
T1,unburned,200,9,CO2,-18.25,1.085642,3557
T1,burned,50,10,CO2,-18.67,1.085182,1437
T1,unburned,175,11,CO2,-18.24,1.085653,2806
T1,burned,75,12,CO2,-16.59,1.087462,1220
T1,unburned,150,13,CO2,-17.47,1.086495,2589
T1,burned,100,14,CO2,-17.01,1.086996,1562
T1,unburned,125,15,CO2,-17.82,1.086111,2275
T1,burned,125,16,CO2,-17.65,1.086293,1904
T1,unburned,100,17,CO2,-17.32,1.08666,1988
T1,burned,150,18,CO2,-17.84,1.086092,2147
T1,unburned,75,19,CO2,-16.09,1.088001,1092
T1,burned,175,20,CO2,-17.54,1.086416,2107
T1,unburned,50,21,CO2,-15.75,1.088381,1000
T1,burned,200,22,CO2,-17.97,1.08595,2540
T1,unburned,25,23,CO2,-15.84,1.088279,837
T1,burned,225,24,CO2,-18.15,1.085756,3013
T1,unburned,10,25,CO2,-12.45,1.091986,535
T1,burned,250,26,CO2,-18.12,1.085787,3665
T1,unburned,5,27,CO2,-12.74,1.091673,511
T1,burned,300,28,CO2,-18.15,1.085746,3808
T1,unburned,0,29,CO2,-11.77,1.092729,496
T1,burned,400,30,CO2,-18.18,1.085716,4315
T2,unburned,400,1,CO2,-21.06,1.082573,1495
T2,burned,0,2,CO2,-8.83,1.095943,383
T2,unburned,300,3,CO2,-20.24,1.083468,1659
T2,burned,5,4,CO2,-12.25,1.092203,450
T2,unburned,250,5,CO2,-19.78,1.083964,2058
T2,burned,10,6,CO2,-13.13,1.091236,564
T2,unburned,225,7,CO2,-19.51,1.084265,1362
T2,burned,25,8,CO2,-14.68,1.089544,509
T2,unburned,200,9,CO2,-19.85,1.083891,1590
T2,burned,50,10,CO2,-8.44,1.096375,389
T2,unburned,175,11,CO2,-19.27,1.084523,1517
T2,burned,75,12,CO2,-8.1,1.096744,354
T2,unburned,150,13,CO2,-18.76,1.085081,1354
T2,burned,100,14,CO2,-20.84,1.082807,763
T2,unburned,125,15,CO2,-14.14,1.090138,568
T2,burned,125,16,CO2,-15.58,1.088564,805
T2,unburned,100,17,CO2,-17.15,1.086847,1061
T2,burned,150,18,CO2,-16.76,1.08727,970
T2,unburned,75,19,CO2,-20.24,1.083463,597
T2,burned,175,20,CO2,-17.06,1.086946,1039
T2,unburned,50,21,CO2,-11.16,1.093397,424
T2,burned,200,22,CO2,-18.11,1.085794,1266
T2,unburned,25,23,CO2,-8.03,1.096822,407
T2,burned,225,24,CO2,-18.94,1.084882,1558
T2,unburned,10,25,CO2,-13.2,1.09117,557
T2,burned,250,26,CO2,-19.42,1.084362,1539
T2,unburned,5,27,CO2,-11.62,1.092892,548
T2,burned,300,28,CO2,-19.55,1.084219,1546
T2,unburned,0,29,CO2,-11.81,1.092686,541
T2,burned,400,30,CO2,-20.08,1.083639,2843
T3,unburned,400,1,CO2,-18.78,1.085064,1339
T3,burned,0,2,CO2,-12.24,1.092219,419
T3,unburned,300,3,CO2,-18.66,1.085189,1148
T3,burned,5,4,CO2,-18.33,1.085557,781
T3,unburned,250,5,CO2,-20.41,1.083275,1595
T3,burned,10,6,CO2,-6.77,1.098202,302
T3,unburned,225,7,CO2,-15.96,1.088149,624
T3,burned,25,8,CO2,-14.9,1.08931,726
T3,unburned,200,9,CO2,-18.11,1.085795,971
T3,burned,50,10,CO2,-5.37,1.099729,270
T3,unburned,175,11,CO2,-17.27,1.086711,636
T3,burned,75,12,CO2,-4.54,1.100632,239
T3,unburned,150,13,CO2,-18.5,1.085366,1054
T3,burned,100,14,CO2,-4.54,1.100639,213
T3,unburned,125,15,CO2,-20.52,1.083156,1130
T3,burned,125,16,CO2,-16.32,1.087754,368
T3,unburned,100,17,CO2,-13.78,1.090531,485
T3,burned,150,18,CO2,-12.55,1.09188,236
T3,unburned,75,19,CO2,-8.44,1.096366,305
T3,burned,175,20,CO2,-9.78,1.094909,340
T3,unburned,50,21,CO2,-13.8,1.090509,433
T3,burned,200,22,CO2,-16.24,1.087844,715
T3,unburned,25,23,CO2,-7.94,1.096916,311
T3,burned,225,24,CO2,-15.36,1.0888,600
T3,unburned,10,25,CO2,-10.59,1.094022,397
T3,burned,250,26,CO2,-17.9,1.086025,1013
T3,unburned,5,27,CO2,-9.97,1.094695,420
T3,burned,300,28,CO2,-18.1,1.085805,1042
T3,unburned,0,29,CO2,-10.7,1.093903,416
T3,burned,400,30,CO2,-19.58,1.084188,1967
